iShares Russell 1000 ETF
Fund Holdings as of,"Nov 07, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"119,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","3,141,904,996.55","7.11","3,141,904,996.55","16,698,937.00","188.15","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","2,792,623,329.18","6.32","2,792,623,329.18","10,401,994.00","268.47","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","2,628,996,062.54","5.95","2,628,996,062.54","5,291,647.00","496.82","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","1,672,829,294.37","3.79","1,672,829,294.37","6,844,357.00","244.41","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1,156,431,810.52","2.62","1,156,431,810.52","4,147,444.00","278.83","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","1,151,430,204.81","2.61","1,151,430,204.81","3,295,167.00","349.43","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","968,526,571.53","2.19","968,526,571.53","1,557,843.00","621.71","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","944,553,612.80","2.14","944,553,612.80","3,377,024.00","279.70","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","862,026,882.08","1.95","862,026,882.08","2,006,954.00","429.52","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","656,756,472.22","1.49","656,756,472.22","1,315,987.00","499.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","622,631,309.17","1.41","622,631,309.17","1,981,577.00","314.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","528,378,211.33","1.20","528,378,211.33","571,609.00","924.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","408,351,665.20","0.92","408,351,665.20","1,215,260.00","336.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","362,420,327.12","0.82","362,420,327.12","3,091,796.00","117.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","333,733,540.08","0.76","333,733,540.08","302,388.00","1,103.66","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","320,408,649.54","0.73","320,408,649.54","580,482.00","551.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","320,342,742.27","0.73","320,342,742.27","1,717,011.00","186.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","318,462,442.75","0.72","318,462,442.75","3,104,225.00","102.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
